"To add dates to the cells, click on the cell then use the formula bar at the top of the screen. Do not type directly after clicking on the cell because it will replace everything present.",,,,,,,,,,,,,,,,,
"To undo use CTRL+Z, Use CTRL+F to search for names or dates",,,,,,,,,,,,,,,,,
Category,Common Name,Scientific Name,"Dates seen (mm/dd/yyyy, list with commas)",,,,,,,Sum of dates observed,<- formula is ,,"LEN(A1)-LEN(SUBSTITUTE(A1,"","",""""))+1",,,,Switch both A1s to whichever cell you want to count
Plants,False solomons seal,Maianthemum racemosum,"06/16/2019, 05/30/2022, 06/04/2024, 08/23/2025",,,,,,,4,,,,,,,
Plants,False sunflower,Heliopsis helianthoides,08/13/2023,,,,,,,1,,,,,,,
Plants,Field Horsetail,Equisetum arvense,08/09/2025,,,,,,,1,,,,,,,
Plants,Field pussytoes,Antennaria (genus),"05/23/2019, 05/21/2021",,,,,,,2,,,,,,,
Plants,Fleabane,Erigeron (genus),"07/13/2023, 06/18/2024",,,,,,,2,,,,,,,
Plants,Forget me not,Myosotis scorpioides,"06/16/2019, 06/11/2020, 05/21/2021, 05/30/2022, 05/06/2024, 10/07/2024",,,,,,,6,,,,,,,
Plants,Fox sedge,Carex vulpinoidea,08/13/2023,,,,,,,1,,,,,,,
Plants,Foxglove beardtongue,Penstemon digitalis,"06/19/2018, 06/16/2020",,,,,,,2,,,,,,,
Plants,Garlic mustard,Alliaria petiolata,"04/24/2018, 05/30/2018, 06/19/2018, 07/06/2018, 07/16/2018, 04/23/2019, 05/23/2019, 06/16/2020, 05/21/2021, 05/30/2022, 05/19/2023, 06/04/2023, 06/04/2024, 07/20/2024",,,,,,,14,,,,,,,
Plants,Geranium,Geranium (genus),06/18/2024,,,,,,,1,,,,,,,
Plants,Giant sunflower,Helianthus giganteus,2025-09-07,,,,,,,1,,,,,,,
Plants,Goatsbeard,Aruncus dioicus,06/04/2023,,,,,,,1,,,,,,,
Plants,Goldenrod,Solidago (genus),"08/10/2019, 08/21/2019, 06/16/2020, 06/25/2020, 10/14/2022, 11/03/2022, 06/04/2023, 07/13/2023, 08/10/2023, 08/13/2023, 09/24/2023, 10/18/2023, 09/12/2024, 10/07/2024, 10/20/2024",,,,,,,15,,,,,,,
Plants,Gooseberry,Ribes oxyacanthoides,08/23/2025,,,,,,,1,,,,,,,
Plants,Graceful sedge,Carex gracillima,06/16/2020,,,,,,,1,,,,,,,
Plants,Grapevine,Vitis (genus),08/13/2023,,,,,,,1,,,,,,,
Plants,Grass leaved goldenrod,Euthamia graminifolia,"08/13/2023,09/07/2025",,,,,,,2,,,,,,,
Plants,Gray dogwood,Cornus racemosa,08/13/2023,,,,,,,1,,,,,,,
Plants,Great blue lobelia,Lobelia siphilitica,"08/11/2022,09/07/2025",,,,,,,2,,,,,,,
Plants,Great ragweed,Ambrosia trifida,08/13/2023,,,,,,,1,,,,,,,
Plants,Greater meadow rue,Thalictrum aquilegiifolium,06/20/2018,,,,,,,1,,,,,,,
Plants,Green ash,Fraxinus pennsylvanica,08/13/2023,,,,,,,1,,,,,,,
Plants,Grey headed coneflower,Ratibida pinnata,"08/14/2021,",,,,,,,2,,,,,,,
Plants,Guelder rose,Viburnum opulus,2025-09-07,,,,,,,1,,,,,,,
Plants,Hairy solomons seal,Polygonatum pubescens,06/16/2019,,,,,,,1,,,,,,,
Plants,Hawkweed,Hieracium (genus),06/11/2020,,,,,,,1,,,,,,,
Plants,Hawthorne,Crataegus (Genus),08/09/2025,,,,,,,1,,,,,,,
Plants,Heal all,Prunella vulgaris,"05/21/2021,",,,,,,,2,,,,,,,
Plants,Heart leaved aster,Symphyotrichum cordifolium,10/14/2018,,,,,,,1,,,,,,,
Plants,Heart leaved willow,Salix (genus),08/13/2023,,,,,,,1,,,,,,,
Plants,Heath aster,Symphyotrichum ericoides,10/14/2018,,,,,,,1,,,,,,,
Plants,Henbit,Lamium amplexicaule,"05/21/2021,",,,,,,,2,,,,,,,
Plants,Hepatica,Genus ,"04/09/2022, 05/09/2022",,,,,,,2,,,,,,,
Plants,Herb robert,Geranium robertianum,"06/04/2024, 08/23/2025,09/07/2025,10/06/2025",,,,,,,4,,,,,,,
Plants,Highbush cranberry,Viburnum opulus var. americanum,06/11/2020,,,,,,,1,,,,,,,
Plants,Honeysuckle,Lonicera (Genus),05/30/2022,,,,,,,1,,,,,,,
Plants,Jack in the pulpit,Arisaema triphyllum,"05/30/2022, 06/04/2023, 06/04/2024",,,,,,,3,,,,,,,
Plants,Jewel weed,Impatiens capensis,"06/20/2018, 08/14/2021,09/07/2025",,,,,,,3,,,,,,,
Plants,Large fruited burreed,Sparganium eurycarpum,08/13/2023,,,,,,,1,,,,,,,
Plants,Late purple aster,Symphyotrichum patens,10/08/2020,,,,,,,1,,,,,,,
Plants,Lily of the valley,Convallaria majalis,06/04/2024,,,,,,,1,,,,,,,
Plants,Long stalked sedge,Carex pedunculata,04/07/2023,,,,,,,1,,,,,,,
Plants,Manitoba maple,Acer negundo,08/23/2025,,,,,,,1,,,,,,,
Plants,Marsh marygolds,Caltha palustris,"05/09/2022, 05/06/2024",,,,,,,2,,,,,,,
Plants,Meadow buttercup,Ranunculus acris,06/04/2024,,,,,,,1,,,,,,,
Plants,Meadow rue early,Thalictrum dioicum,"9/1/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Meadow rue tall,Thalictrum dasycarpum,2025-09-01,,,,,,,1,,,,,,,
Plants,Meadow soft grass,Holcus lanatus,08/13/2023,,,,,,,1,,,,,,,
Plants,Nannyberry,Viburnum lentago,08/09/2025,,,,,,,1,,,,,,,
Plants,New england aster,(Symphyotrichum novae-angliae),"10/14/2018, 09/23/2020, 08/13/2023, 10/07/2024, 10/20/2024,09/07/2025",,,,,,,6,,,,,,,
Plants,New york aster,Symphyotrichum novi-belgii,09/12/2024,,,,,,,1,,,,,,,
Plants,Nodding beggarticks,Bidens cernua,"08/13/2023, 10/07/2024,09/07/2025",,,,,,,3,,,,,,,
Plants,Northern bugleweed,Lycopus uniflorus,08/13/2023,,,,,,,1,,,,,,,
Plants,Northern white cedar,Thuja occidentalis,"08/09/2025, 08/23/2025",,,,,,,2,,,,,,,
Plants,Orange coneflower,Rudbeckia fulgida,2025-09-07,,,,,,,1,,,,,,,
Plants,Ostrich fern,Matteuccia struthiopteris,"06/16/2020, 08/14/2021, 06/04/2023,09/01/2025",,,,,,,4,,,,,,,
Plants,Ox-eye daisy,Leucanthemum vulgare,"06/16/2019, 06/16/2020, 06/04/2023, 07/13/2023, 06/04/2024, 06/18/2024",,,,,,,6,,,,,,,
Plants,Panicled aster,Symphyotrichum lanceolatum,"09/23/2020, 08/13/2023,10/06/2025",,,,,,,3,,,,,,,
Plants,Pearly everlasting,Anaphalis margaritacea,"08/09/2025, 08/23/2025",,,,,,,2,,,,,,,
Plants,Perennial sow thistle,Sonchus arvensis,"08/13/2023, 10/07/2024, 08/09/2025, 08/23/2025,09/07/2025",,,,,,,5,,,,,,,
Plants,Periwinkle,Vinca (Genus),"04/24/2018, 07/16/2018, 04/23/2019, 08/11/2022, 04/07/2023, 05/06/2024, 06/04/2024, 07/04/2024, 11/09/2024",,,,,,,9,,,,,,,
Plants,Philadelphia fleabane,Erigeron philadelphicus,"06/16/2019, 06/16/2020, 08/13/2023, 06/04/2024",,,,,,,4,,,,,,,
Plants,Phlox,Phlox (Genus),06/04/2024,,,,,,,1,,,,,,,
Plants,Phragmites,Phragmites australis,"04/22/2018, 06/19/2018, 06/20/2018, 07/16/2018, 10/14/2018, 10/22/2018, 05/23/2019, 09/27/2019, 08/31/2021, 08/13/2023",,,,,,,10,,,,,,,
Plants,Pin cherry,Prunus pensylvanica,"05/21/2021,",,,,,,,2,,,,,,,
Plants,Pink violet,Viola (Genus),05/06/2024,,,,,,,1,,,,,,,
Plants,Poison ivy,Toxicodendron radicans,"06/09/2019, 09/14/2020, 08/14/2021, 08/10/2023, 08/23/2025",,,,,,,5,,,,,,,
Plants,Purple clover,Trifolium pratense,07/13/2023,,,,,,,1,,,,,,,
Plants,Purple coneflower,Echinacea purpurea,"08/16/2018,09/07/2025",,,,,,,2,,,,,,,
Plants,Purple loostrife,Lythrum salicaria,"08/10/2023, 08/13/2023",,,,,,,2,,,,,,,
Plants,purple stemmed angelica,Angelica atropurpurea,07/14/2020,,,,,,,1,,,,,,,
Plants,Purple violets,Viola (Genus),"04/23/2019, 05/30/2022, 05/19/2023, 05/06/2024",,,,,,,4,,,,,,,
Plants,Purpleleaf willowherb,Epilobium coloratum,08/13/2023,,,,,,,1,,,,,,,
Plants,Pussy willow,Salix discolor,04/23/2019,,,,,,,1,,,,,,,
Plants,Queen anne's lace,Daucus carota,"08/10/2019, 08/21/2019, 08/10/2023, 08/13/2023, 08/01/2024, 10/07/2024, 08/09/2025, 08/23/2025",,,,,,,8,,,,,,,
Plants,Common ragweed,Ambrosia artemisiifolia,"08/28/2018, 08/13/2023",,,,,,,2,,,,,,,
Plants,Red raspberry ,Rubus idaeus,"04/11/2019, 07/13/2023, 06/18/2024,09/07/2025",,,,,,,4,,,,,,,
Plants,Red baneberry,Actaea rubra,"08/14/2021,",,,,,,,2,,,,,,,
Plants,Red clover,Trifolium pratense,"06/19/2018, 06/04/2024, 08/09/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,Red elderberry,Sambucus racemosa,"06/04/2024,09/01/2025",,,,,,,2,,,,,,,
Plants,Red osier dogwood,Cornus sericea,"06/11/2020, 07/05/2021, 08/13/2023, 06/04/2024,09/01/2025",,,,,,,5,,,,,,,
Plants,Red top grass,Agrostis gigantea,08/13/2023,,,,,,,1,,,,,,,
Plants,Reed canary grass,Phalaris arundinacea,08/13/2023,,,,,,,1,,,,,,,
Plants,Schrebers big red stem moss,Pleurozium schreberi,08/13/2023,,,,,,,1,,,,,,,
Plants,Scotch thistle,Onopordum acanthium,"07/13/2023, 08/13/2023",,,,,,,2,,,,,,,
Plants,Scots pine,Pinus sylvestris,"07/04/2024,10/07/2024, 08/09/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,Sensitive fern,Onoclea sensibilis,2025-09-07,,,,,,,1,,,,,,,
Plants,Shining aster,Symphyotrichum firmum,2025-09-07,,,,,,,1,,,,,,,
Plants,Siberian squill,Scilla siberica,05/13/2020,,,,,,,1,,,,,,,
Plants,Silky dogwood,Cornus amomum,08/13/2023,,,,,,,1,,,,,,,
Plants,Small flowered evening primose,Oenothera (genus),08/13/2023,,,,,,,1,,,,,,,
Plants,Smooth brome grass,Bromus inermis,08/09/2025,,,,,,,1,,,,,,,
Plants,Snapdragon,Antirrhinum (Genus),06/20/2018,,,,,,,1,,,,,,,
Plants,Snow drops,Galanthus nivalis,"04/22/2018, 04/23/2019, 04/09/2022, 04/22/2022",,,,,,,4,,,,,,,
Plants,Soft stem bulrush,Schoenoplectus tabernaemontani,08/13/2023,,,,,,,1,,,,,,,
Plants,Solomon's plume,Maianthemum racemosum,"09/24/2023,09/07/2025",,,,,,,2,,,,,,,
Plants,Spotted joe pye weed,Eutrochium maculatum,"07/14/2020, 08/13/2023,08/09/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,Spotted knapweed,Centaurea stoebe,"09/27/2019, 08/22/2021, 07/23/2022",,,,,,,3,,,,,,,
Plants,Spotted touch-me-not,Impatiens capensis,08/23/2025,",11/02/25",,,,,,1,,,,,,,
Plants,Spotted water hemlock,Cicuta maculata,"07/11/2020, 08/13/2023",,,,,,,2,,,,,,,
Plants,Spreading dogbane,Apocynum androsaemifolium,"08/16/2018, 06/16/2020",,,,,,,2,,,,,,,
Plants,Square-stemmed monkeyflower,Mimulus ringens,"08/13/2023,09/01/2025",,,,,,,2,,,,,,,
Plants,St. John's wort,Hypericum perforatum,"08/09/2025, 08/23/2025",,,,,,,2,,,,,,,
Plants,Staghorn sumac,Rhus typhina,"08/21/2019, 09/27/2019, 06/11/2020, 06/04/2023, 08/23/2025,10/06/2025,11/02/2025",,,,,,,7,,,,,,,
Plants,Stinging nettle,Urtica dioica,"06/11/2020, 06/16/2020",,,,,,,2,,,,,,,
Plants,Sulphur cinquefoil,Potentilla recta,"08/23/2025,09/01/2025",,,,,,,2,,,,,,,
Plants,Swamp milkweed,Asclepias incarnata,08/13/2023,,,,,,,1,,,,,,,
Plants,Sweet white clover,Melilotus alba,08/13/2023,,,,,,,1,,,,,,,
Plants,Tall blue lettuce,Lactuca biennis,"08/14/2021,09/07/2025",,,,,,,2,,,,,,,
Plants,Tall buttercup,Ranunculus acris,"06/16/2019, 06/16/2020, 05/30/2022",,,,,,,3,,,,,,,
Plants,Tall hairy agrimony,Agrimonia gryposepala,"08/16/2018, 07/24/2019,09/07/2025",,,,,,,3,,,,,,,
Plants,Tall meadowrue,Thalictrum pubescens,07/06/2018,,,,,,,1,,,,,,,
Plants,Tall sunflower,Helianthus giganteus,08/13/2023,,,,,,,1,,,,,,,
Plants,Tall thimbleweed,Anemone virginiana,"08/09/2025, 08/23/2025,09/07/2025",,,,,,,3,,,,,,,
Plants,Tamarack,Larix laricina,06/04/2023,,,,,,,1,,,,,,,
Plants,Tartarian honeysuckle,Lonicera tatarica,08/09/2025,,,,,,,1,,,,,,,
Plants,Thin-leafed coneflower,Rudbeckia triloba,08/16/2018,,,,,,,1,,,,,,,
Plants,Tiger lily,Lilium lancifolium,"07/05/2021, 07/13/2023",,,,,,,2,,,,,,,
Plants,Toad flax,Linaria vulgaris,08/16/2018,,,,,,,1,,,,,,,
Plants,Trembling aspen,Populus tremuloides,"06/04/2023, 08/13/2023, 08/09/2025, 08/23/2025",,,,,,,4,,,,,,,
Plants,"Trillium, white",Trillium grandiflorum,"05/13/2020, 05/21/2021, 05/09/2022, 05/19/2023, 05/06/2024",,,,,,,5,,,,,,,
Plants,Troublesome sedge,Carex molesta,08/13/2023,,,,,,,1,,,,,,,
Plants,Trout lily,Erythronium americanum,"04/23/2019, 05/07/2019, 05/13/2020",,,,,,,3,,,,,,,
Plants,Tufted vetch,Vicia cracca,"06/04/2023, 08/13/2023, 08/09/2025",,,,,,,3,,,,,,,
Plants,Vipers bugloss,Echium vulgare,06/16/2019,,,,,,,1,,,,,,,
Plants,Virginia creeper,Parthenocissus quinquefolia,"08/09/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Virginia waterleaf,Hydrophyllum virginianum,"10/14/2018, 06/16/2019, 06/11/2020, 06/04/2023, 06/04/2024",,,,,,,5,,,,,,,
Plants,Virgins bower,Clematis virginiana,2025-09-01,,,,,,,1,,,,,,,
Plants,Water horehound,Lycopus americanus,08/13/2023,,,,,,,1,,,,,,,
Plants,White ash,Fraxinus americana,"08/13/2023, 08/23/2025",,,,,,,2,,,,,,,
Plants,White baneberry,Actaea pachypoda,"08/14/2021, 08/23/2025,10/06/2025,09/07/2025",,,,,,,4,,,,,,,
Plants,White coral fungus,Clavulina cristata,09/27/2019,,,,,,,1,,,,,,,
Plants,White pine,Pinus strobus,08/23/2025,,,,,,,1,,,,,,,
Plants,White spruce,Picea glauca,08/23/2025,,,,,,,1,,,,,,,
Plants,White turtlehead,Chelone glabra,08/13/2023,,,,,,,1,,,,,,,
Plants,White violet,Viola blanda,05/06/2024,,,,,,,1,,,,,,,
Plants,Wild angelica,Angelica sylvestris,08/13/2023,,,,,,,1,,,,,,,
Plants,Wild asparagus,Asparagus officinalis,"06/16/2020, 06/04/2024",,,,,,,2,,,,,,,
Plants,Wild basil,Clinopodium vulgare,"9/1/2025,09/07/2025",,,,,,,2,,,,,,,
Plants,Wild bergamot,Monarda fistulosa,"08/13/2023,09/07/2025",,,,,,,2,,,,,,,
Plants,Wild blue phlox,Phlox divaricata,06/04/2023,,,,,,,1,,,,,,,
Plants,Wild cucumber,Echinocystis lobata,09/12/2024,,,,,,,1,,,,,,,
Plants,Wild garlic,Allium canadense,"06/16/2020, 07/22/2021",,,,,,,2,,,,,,,
Plants,Wild grapevine,Vitis vulpina,"06/16/2020, 08/13/2023, 08/09/2025, 08/23/2025",,,,,,,4,,,,,,,
Plants,Wild hyacinth,Camassia scilloides,06/16/2019,,,,,,,1,,,,,,,
Plants,Wild lettuce,Lactuca virosa,08/13/2023,,,,,,,1,,,,,,,
Plants,Wild parsnip,Pastinaca sativa,"07/27/2025, 08/23/2025",,,,,,,2,,,,,,,
Plants,Wild sarsaparilla,Aralia nudicaulis,"08/14/2021,",,,,,,,2,,,,,,,
Plants,Winter aconite,Eranthis hyemalis,"04/22/2018, 05/13/2020, 04/07/2023",,,,,,,3,,,,,,,
Plants,Wood nettle,Laportea canadensis,"08/14/2021,09/07/2025",,,,,,,2,,,,,,,
Plants,Wood Sorrel,Oxalis (Genus),08/16/2018,,,,,,,1,,,,,,,
Plants,Woodland sunflower,Helianthus divaricatus,"08/16/2018, 08/13/2023",,,,,,,2,,,,,,,
Plants,Yellow avens,Geum aleppicum,08/13/2023,,,,,,,1,,,,,,,
Plants,Yellow Bedstraw,Galium verum,"08/16/2018, 08/23/2025",,,,,,,2,,,,,,,
Plants,Yellow sweet clover,Melilotus officinalis,05/30/2022,,,,,,,1,,,,,,,
Plants,Yellow goats beard,Tragopogon dubius,"08/16/2018, 06/16/2019",,,,,,,2,,,,,,,
Plants,Yellow hawkweed,Hieracium caespitosum,"06/16/2019, 06/04/2023, 06/04/2024",,,,,,,3,,,,,,,
Plants,Yellow lady slippers,Cypripedium parviflorum,"05/30/2018, 06/20/2018, 06/11/2020, 06/16/2020",,,,,,,4,,,,,,,
Plants,Yellow violet,Viola pubescens,05/06/2024,,,,,,,1,,,,,,,
Plants,Zigzag goldenrod,Solidago flexicaulis,"10/14/2018, 06/04/2023,09/07/2025",,,,,,,3,,,,,,,
Insects,American dagger moth,Acronicta americana,08/23/2025,,,,,,,1,,,,,,,
Insects,Banded tussock moth,Halysidota tessellaris,08/09/2025,,,,,,,1,,,,,,,
Insects,Brushfoot butteryfly,Nymphalidae (family),08/10/2019,,,,,,,1,,,,,,,
Insects,Butterflies (Unidentified),Papilionoidea (Superfamily),"07/22/2021, 06/04/2022, 08/11/2022",,,,,,,3,,,,,,,
Insects,Cicada, Cicadidae (Family),"07/19/2018, 08/10/2019, 07/20/2024",,,,,,,3,,,,,,,
Insects,Common eastern bumble bee,Bombus impatiens,"06/11/2020,09/01/2025",,,,,,,2,,,,,,,
Insects,Common whitetail skimmer,Plathemis lydia,"06/11/2020, 07/20/2024",,,,,,,2,,,,,,,
Insects,Common wood nymph,Cercyonis pegala,06/18/2024,,,,,,,1,,,,,,,
Insects,Crescent butterflies,Phyciodes (Genus),"07/05/2021, 06/19/2022",,,,,,,2,,,,,,,
Insects,Crickets,Orthoptera (Order),"08/10/2019, 09/20/2021, 11/03/2022, 10/18/2023",,,,,,,4,,,,,,,
Insects,Damselflies (Unidentified),Zygoptera (suborder),"06/11/2020, 07/22/2021, 08/11/2022, 08/04/2024",,,,,,,4,,,,,,,
Insects,Deer fly,Tabanidae (Deer Flies),"07/21/2020, 06/04/2022",,,,,,,2,,,,,,,
Insects,Dogwood eyespot gall midge,Parallelodiplosis subtruncata,09/07/2025,,,,,,,1,,,,,,,
Insects,Dogwood sawfly,Macremphytus tarsatus,09/07/2025,,,,,,,1,,,,,,,
Insects,Dragonfly (Unidentified),Anisoptera (Infraorder),"06/11/2020, 07/05/2021, 06/19/2022, 06/04/2022, 08/04/2024",,,,,,,5,,,,,,,
Insects,Eastern tiger swallowtail,Papilio glaucus,"08/10/2019, 06/11/2020, 06/04/2024, 08/09/2025",,,,,,,4,,,,,,,
Insects,Ebony jewelwing,Calopteryx maculata,"06/11/2020, 06/04/2024, 06/18/2024, 07/20/2024",,,,,,,4,,,,,,,
Insects,Emerald ash borer,Agrilus planipennis,10/14/2022,,,,,,,1,,,,,,,
Insects,European skipper butterfly,Thymelicus lineola,06/18/2024,,,,,,,1,,,,,,,
Insects,Goldenrod soldier beetle,Chauliognathus pensylvanicus,08/09/2025,,,,,,,1,,,,,,,
Insects,Hickory tussock moth,Lophocampa caryae,"08/09/2025,09/07/2025",,,,,,,2,,,,,,,
Insects,Honeybees,Apis (Genus),"09/27/2018,09/01/2025",,,,,,,2,,,,,,,
Insects,Hummingbird moth,Macroglossum stellatarum,08/21/2019,,,,,,,1,,,,,,,
Insects,Japanese beetle,Popillia japonica,07/21/2020,,,,,,,1,,,,,,,
Insects,LDD Moth (gypsy moth),Lymantria dispar dispar,"06/22/2021, 07/05/2021, 09/20/2021",,,,,,,3,,,,,,,
Insects,Little wood satyrs,Megisto cymela,"06/11/2020, 07/05/2021",,,,,,,2,,,,,,,
Insects,Milkweed tussock moth,Euchaetes egle,2025-09-07,,,,,,,1,,,,,,,
Insects,Monarch butterfly,Danaus plexippus,"07/06/2018, 07/19/2018, 07/24/2019, 08/10/2019, 07/22/2021, 06/30/2022, 07/20/2024, 08/09/2025, 08/23/2025",,,,,,,9,,,,,,,
Insects,Mourning cloak,Nymphalis antiopa,07/05/2021,,,,,,,1,,,,,,,
Insects,North american tarnished plant bug,Lygus lineolaris,2025-09-07,,,,,,,1,,,,,,,
Insects,Northern crescent butterfly,Phyciodes cocyta,"06/11/2020, 06/18/2024",,,,,,,2,,,,,,,
Insects,Pale green assasin bug,Zelus luridus,09/07/2025,,,,,,,1,,,,,,,
Insects,Painted lady,Vanessa cardui,06/04/2024,,,,,,,1,,,,,,,
Insects,Pearl crescent butterfly,Phyciodes tharos,"06/25/2020, 06/04/2022",,,,,,,2,,,,,,,
Insects,Question mark butterfly,Polygonia interrogationis,06/18/2024,,,,,,,1,,,,,,,
Insects,Red admiral butterfly,Vanessa atalanta,04/10/2024,,,,,,,1,,,,,,,
Insects,Red milkweed beetle,Tetraopes tetrophthalmus,08/09/2025,,,,,,,1,,,,,,,
Insects,Robber flies,Asilidae (Genus),07/21/2020,,,,,,,1,,,,,,,
Insects,Seven-spot ladybird (Ladybug),Coccinella septempunctata,08/09/2025,,,,,,,1,,,,,,,
Insects,Spring azures,Celastrina ladon,06/04/2024,,,,,,,1,,,,,,,
Insects,Summer azures,Celastrina neglecta,08/09/2025,,,,,,,1,,,,,,,
Insects,Swallowtail butterflies,Papilionidae (Family),06/18/2024,,,,,,,1,,,,,,,
Insects,Tent caterpillars,Malacosoma (Genus),08/09/2025,,,,,,,1,,,,,,,
Insects,Tiger Beetle,Cicindelidae (Family),"07/21/2020, 06/04/2022",,,,,,,2,,,,,,,
Insects,Two-striped planthopper,Acanalonia bivittata,08/09/2025,,,,,,,1,,,,,,,
Insects,Virginia tiger moth,Spilosoma virginica,08/09/2025,,,,,,,1,,,,,,,
Insects,White admiral butterfly,Limenitis camilla,"07/22/2021, 07/05/2021, 07/27/2021, 06/19/2022",,,,,,,4,,,,,,,
Insects,White banded crab spider,Misumenoides formosipes,09/07/2025,,,,,,,1,,,,,,,
Insects,White stripe black moth,Trichodezia albovittata,08/10/2019,,,,,,,1,,,,,,,
Insects,White-striped black moth,Trichodezia albovittata,05/30/2022,,,,,,,1,,,,,,,
Insects,Woodwasp,Xiphydriidae,06/11/2020,,,,,,,1,,,,,,,
Insects,Wooly caterpillar (Isabella tiger moth),Pyrrharctia isabella,"10/18/2023,11/22/2025",,,,,,,2,,,,,,,
Mushrooms,Chicken fat fungus,Suillus americanus,2025-09-01,,,,,,,1,,,,,,,
Mushrooms,Crown tipped coral,Artomyces pyxidatus,09/07/2025,,,,,,,1,,,,,,,
Mushrooms,,Ganoderma megaloma,07/04/2023,,,,,,,1,,,,,,,
Mushrooms,Dryad's saddle,Polyporus squamosus,06/04/2024,,,,,,,1,,,,,,,
Mushrooms,Frost's amanita,Amanita frostiana,09/07/2025,,,,,,,1,,,,,,,
Mushrooms,Giant puffball,Calvatia gigantea,"09/09/2018,09/01/2025,09/07/2025",,,,,,,3,,,,,,,
Mushrooms,Mica caps,Coprinellus micaceus,06/04/2024,,,,,,,1,,,,,,,
Mushrooms,Oyster mushrooms,Pleurotus ostreatus,06/04/2024,,,,,,,1,,,,,,,
Mushrooms,Pholiota granulosa,Pholiota granulosa,09/07/2025,,,,,,,1,,,,,,,
